負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Ivan,TC28,純AC站,2025/08/18,台中商3頂魚寮停車場,2,2,0,J1772,120.536353,24.260587,辦公區,平面停車場
Ivan,TC24,純AC站,2025/08/18,台中停57大興停車場,2,2,0,J1772,120.55393,24.237312,風景區,平面停車場
Ivan,TC21,純AC站,2025/08/19,台中神岡停4停車場,2,2,0,J1772,120.704389,24.276794,交通幹道區,平面停車場
Ivan,TC19,純AC站,2025/08/19,台中神岡停1停車場,1,1,0,J1772,120.697342,24.278588,交通幹道區,平面停車場
Anita,TP03,純AC站,2025/08/18,台北建成公園地下停車場,6,6,0,J1772、TYPE2,121.51803,25.05398,住宅區,地下停車場
Jason,7E12,純DC站,2025/08/20,7-11_苗栗東館門市,2,0,2,CCS1、CCS2,120.819537,24.527387,交通幹道區,超商
Kathy,EC29,純AC站,2025/08/20,台北民生社區中心地下停車場,3,3,0,J1772、TYPE2,121.563155,25.059888,住宅區,社區
Ivan,EB91,純AC站,2025/08/20,屏東幸福公園停車場,10,10,0,J1772、TYPE2,120.491368,22.67873,風景區,公園
Xana,EB94,純AC站,2025/08/25,台北美福大飯店,6,6,0,J1772、TYPE2,121.554368,25.080322,住宅區,飯店
Ivan,TC37,純AC站,2025/08/25,台中陽明大樓第二平面停車場,15,15,0,J1772,120.721972,24.24544,交通幹道區,平面停車場
Kathy,EB75,純AC站,2025/08/26,寶盛文敬路停車場,2,2,0,J1772、TYPE2,120.311598,22.678655,住宅區,平面停車場
Ivan,TC29,純AC站,2025/08/26,台中停市1台中港特定區停車場,1,1,0,J1772,120.534364,24.269624,交通幹道區,平面停車場
Ivan,TC31,純AC站,2025/08/26,台中停市9台中港特定區停車場,1,1,0,J1772,120.540252,24.26625,交通幹道區,平面停車場
Ivan,TC33,純AC站,2025/08/26,台中停市8台中港特定區停車場,1,1,0,J1772,120.535936,24.269406,交通幹道區,平面停車場
Ivan,TC27,純AC站,2025/08/27,台中停市7台中港特定區停車場,1,1,0,J1772,120.529846,24.262355,商業區,平面停車場
Ivan,TC23,純AC站,2025/08/27,台中大智停車場,1,1,0,J1772,120.534069,24.259785,住宅區,平面停車場
Ivan,TC26,純AC站,2025/08/27,台中頂寮西停車場,1,1,0,J1772,120.534636,24.26356,住宅區,平面停車場
Kathy,EA54,純DC站,2025/08/27,台灣中油_桃園東勇站,6,0,6,CCS1、CCS2,121.306838,24.962675,住宅區,旗艦型快充站
Ivan,TC35,純AC站,2025/08/28,台中中興嶺停車場及旅客服務中心,1,1,0,J1772,120.796032,24.204371,交通幹道區,景點
Ivan,TC38,純AC站,2025/08/28,台中陽明大樓地下停車場,5,5,0,J1772,120.721367,24.246777,辦公區,地下停車場
Ivan,TC00,純AC站,2025/08/29,台中臺灣大道市政大樓附屬地下停車場,12,12,0,J1772,120.645026,24.162149,商業區,政府機關
Anita,EB86,純AC站,2025/08/29,台北市南港運動中心,3,3,0,J1772、TYPE2,121.581504,25.048608,住宅區,運動
Ivan,TC25,純AC站,2025/09/03,台中頂寮東停車場,2,2,0,J1772,120.53813,24.258839,住宅區,平面停車場
Ivan,TC22,純AC站,2025/09/04,台中停市5台中港特定區停車場,1,1,0,J1772,120.53861,24.263174,辦公區,平面停車場
Ivan,TC03,純AC站,2025/09/04,台中漢口停車場,4,4,0,J1772,120.662072,24.16561,住宅區,平面停車場
Ivan,TC10,純AC站,2025/09/03,台中大甲停二停車場,2,2,0,J1772,120.631192,24.343798,交通幹道區,平面停車場
Ivan,TC11,純AC站,2025/09/03,台中甲后停車場,2,2,0,J1772,120.628206,24.344973,交通幹道區,平面停車場
Ivan,TC32,純AC站,2025/09/02,台中停市3台中港特定區停車場,1,1,0,J1772,120.543184,24.266726,交通幹道區,平面停車場
Ivan,TC34,純AC站,2025/09/02,台中停市2台中港特定區停車場,1,1,0,J1772,120.538247,24.267581,交通幹道區,地下停車場
Ivan,TC06,純AC站,2025/09/02,台中南屯國小地下停車場,6,6,0,J1772,120.638221,24.137901,商業區,平面停車場
Kathy,TA22,純AC站,2025/09/01,桃園中正公有停車場,4,4,0,J1772、TYPE2,121.254711,24.926237,住宅區,平面停車場
Kathy,TA32,純AC站,2025/09/01,桃園運動公園平面停車場,3,3,0,J1772、TYPE2,121.218287,24.86792,交通幹道區,平面停車場
Kathy,TA16,純AC站,2025/09/01,桃園龍岡停車場,10,10,0,J1772、TYPE2,121.252998,24.930284,商業區,平面停車場
Kathy,TA14,純AC站,2025/09/01,桃園興仁親子公園停車場,8,8,0,J1772、TYPE2,121.263568,24.964838,住宅區,公園
Kathy,TA13,純AC站,2025/09/01,桃園坤慶公園地下停車場,3,3,0,J1772、TYPE2,121.229846,24.962017,住宅區,公園
Kathy,TA11,純AC站,2025/09/01,桃園石頭段停車場,5,5,0,J1772、TYPE2,121.22277,24.950711,住宅區,平面停車場
Kathy,TA10,純AC站,2025/09/01,桃園延平停車場,6,6,0,J1772、TYPE2,121.223105,24.956018,住宅區,平面停車場
Kathy,TA05,純AC站,2025/09/01,桃園銀河廣場地下停車場,2,2,0,J1772、TYPE2,121.223749,24.961688,商業區,地下停車場
Anita,TP40,純AC站,2025/09/09,台北延平北路5段1巷平面停車場,4,4,0,J1772、TYPE2,121.509796,25.078834,住宅區,平面停車場
Anita,TP04,純AC站,2025/09/09,台北建成國中地下停車場,8,8,0,J1772、TYPE2,121.519636,25.050563,住宅區,地下停車場
Ivan,TC08,純AC站,2025/09/11,台中府後街地下停車場,10,10,0,J1772,120.675085,24.136239,辦公區,地下停車場
Ivan,TC09,純AC站,2025/09/09,台中文昌國小地下停車場,3,3,0,J1772,120.624845,24.348473,風景區,地下停車場
Xana,EC01,純AC站,2025/09/11,新北陽明山天籟渡假酒店,2,2,0,J1772、TYPE2,121.59515,25.201666,住宅區,飯店
Anita,TP38,純AC站,2025/09/12,台北公館路平面停車場,4,4,0,J1772、TYPE2,121.503373,25.121125,住宅區,平面停車場
Anita,TP53,純AC站,2025/09/12,台北大業路280巷臨時平面停車場,2,2,0,J1772、TYPE2,121.500179,25.127674,住宅區,平面停車場
Lisa,EB46,純AC站,2025/08/08,歐特儀股份有限公司東門停車場,2,2,0,J1772、TYPE2,120.28997,22.674235,住宅區,平面停車場
Lisa,EB45,純AC站,2025/08/08,歐特儀股份有限公司陽明停車場,2,2,0,J1772、TYPE2,120.34211,22.642901,商業區,平面停車場
Ivan,TC15,純AC站,2025/09/15,台中上城里停車場,2,2,0,J1772,120.838367,24.218638,交通幹道區,平面停車場
Kathy,EB96,純AC站,2025/09/18,新北領袖天下工業園區停車場,4,4,0,J1772、TYPE2,121.455923,24.996274,住宅區,商辦
